x_m,y_m,A_Wb_per_m,Bx_T,By_T,weight,region_id,r_m
-1.409846295223278999e-02,4.166681489836280422e-02,7.954283338413426331e-04,-2.649323734395011144e-04,-8.948129443514101508e-05,1.699779249448123697e-01,1.000000000000000000e+00,4.398738593494627008e-02
2.886912814424485996e-02,-1.624098333141500705e-02,7.980594539509178144e-04,1.030240578204517362e-04,1.797505528023779617e-04,1.699779249448123697e-01,1.000000000000000000e+00,3.312395054005682488e-02
9.051161284114924571e-03,-4.543755362238811879e-02,7.947627973455060994e-04,2.853506214565453740e-04,5.636980299350113476e-05,1.699779249448123697e-01,1.000000000000000000e+00,4.633027951327788746e-02
3.207360878066897042e-02,2.673394270273287202e-02,7.960290542658906817e-04,-1.678560746659571467e-04,2.023061251851969770e-04,1.699779249448123697e-01,1.000000000000000000e+00,4.175428208757048926e-02
1.534150078968623578e-02,-2.858727674691125703e-04,8.007664704087394782e-04,1.510092331001016840e-06,9.584481223540562852e-05,1.699779249448123697e-01,1.000000000000000000e+00,1.534416402803110910e-02
3.583104242690730856e-02,-3.398811965515390054e-02,7.938438995172852246e-04,2.152220186790288576e-04,2.250788207875756850e-04,6.799116997792494788e-01,1.000000000000000000e+00,4.938679863173852519e-02
-9.223575467623560883e-03,4.263537158943188354e-02,7.955284529715303922e-04,-2.663904540568545363e-04,-5.648847900232758780e-05,1.699779249448123697e-01,1.000000000000000000e+00,4.362166038765469267e-02
2.301895906530184235e-02,-3.788519878187711354e-02,7.953334790562732303e-04,2.414875441883547252e-04,1.448486533808056157e-04,1.699779249448123697e-01,1.000000000000000000e+00,4.433013380526146241e-02
1.404260065152196542e-02,1.109456842922425940e-02,8.005009938876168430e-04,-7.176004404285220089e-05,9.130768876622302299e-05,1.699779249448123697e-01,1.000000000000000000e+00,1.789648238310715539e-02
3.355486875335701724e-02,-1.887529705799060621e-04,7.979692903333783678e-04,3.497364769633278425e-06,2.097883259809632018e-04,1.699779249448123697e-01,1.000000000000000000e+00,3.355539963610801313e-02
-1.538568445947963333e-02,-2.627309982272324138e-02,7.985938793835572948e-04,1.653516285068441132e-04,-9.658753937699062397e-05,1.699779249448123697e-01,1.000000000000000000e+00,3.044659357927341492e-02
-2.826204455676971025e-02,-3.896369219661643263e-02,7.942281180036359555e-04,2.425440901342881361e-04,-1.791910360197514576e-04,6.799116997792494788e-01,1.000000000000000000e+00,4.813431699028775795e-02
3.381528509943092231e-02,2.159141713380264421e-02,7.964501271378706315e-04,-1.367352766774308824e-04,2.157269303462964897e-04,1.699779249448123697e-01,1.000000000000000000e+00,4.012060318840759282e-02
3.618819163946336570e-02,-2.733713260461946917e-02,7.950445433101789236e-04,1.736699255575223822e-04,2.265203399426935350e-04,1.699779249448123697e-01,1.000000000000000000e+00,4.535310389793707764e-02
3.274350899221228905e-02,6.033085110061091848e-03,7.980239117920789318e-04,-3.957213613718817201e-05,2.043359271992443451e-04,1.699779249448123697e-01,1.000000000000000000e+00,3.329467670767097265e-02
1.372814707471313065e-03,2.379521347332048606e-02,7.997219575715657511e-04,-1.517391240745596189e-04,1.012673490732637752e-05,1.699779249448123697e-01,1.000000000000000000e+00,2.383478140159758785e-02
2.318563866650709057e-02,2.913568477255612174e-02,7.971513397889558273e-04,-1.855935738150829161e-04,1.479569065812658460e-04,1.699779249448123697e-01,1.000000000000000000e+00,3.723522482192886257e-02
2.114386948003335338e-03,-1.245281125266706548e-02,8.010053994639526175e-04,7.791770193948350056e-05,1.077352690665059440e-05,1.699779249448123697e-01,1.000000000000000000e+00,1.263103876410955929e-02
1.454350680207398827e-02,4.309947029697096949e-02,7.950061967094857341e-04,-2.710000624702712797e-04,8.965651145412573846e-05,1.699779249448123697e-01,1.000000000000000000e+00,4.548711828618576258e-02
3.363757648200746408e-02,-2.115831860574608064e-02,7.965451532570429725e-04,1.317834295215816677e-04,2.118141924492234699e-04,1.699779249448123697e-01,1.000000000000000000e+00,3.973865873183394376e-02
-2.418192920275746838e-02,-3.620018853882200904e-02,7.955527275157207780e-04,2.295586861716916640e-04,-1.500582322077005561e-04,1.699779249448123697e-01,1.000000000000000000e+00,4.353411708319619711e-02
2.900583901382901980e-02,6.706431497339344731e-03,7.987222839646165515e-04,-4.259542195880933223e-05,1.850049468521818171e-04,1.699779249448123697e-01,1.000000000000000000e+00,2.977104163990018648e-02
4.923333785461996709e-02,1.680328741676155200e-03,7.938827617681747844e-04,-9.912701617669910118e-06,3.093345034372591419e-04,6.799116997792494788e-01,1.000000000000000000e+00,4.926200423234177589e-02
4.478529588691986668e-02,1.506917634200798453e-02,7.944927078315399587e-04,-9.553248604782056870e-05,2.776682154330339459e-04,6.799116997792494788e-01,1.000000000000000000e+00,4.725254282369886066e-02
-3.469836886544003934e-02,-2.723934545399844809e-02,7.953930178998085132e-04,1.699488472224053835e-04,-2.191262956420484017e-04,1.699779249448123697e-01,1.000000000000000000e+00,4.411302237077396882e-02
7.011616202648074565e-03,-2.091492308990597002e-02,7.999780496495583534e-04,1.314959720483171914e-04,4.124104522388819937e-05,1.699779249448123697e-01,1.000000000000000000e+00,2.205893854268420676e-02
2.454723173788010259e-03,3.407017527776535354e-02,7.978417491675746358e-04,-2.121401240722678254e-04,1.195453979866196071e-05,1.699779249448123697e-01,1.000000000000000000e+00,3.415849102811166493e-02
6.119492988710809218e-03,-8.488888032551211715e-03,8.011628071969410271e-04,5.494365862378008600e-05,4.102546991336362031e-05,1.699779249448123697e-01,1.000000000000000000e+00,1.046467459924444766e-02
1.838364743773635707e-02,6.911239907128038928e-03,8.002946954822788691e-04,-4.181848271415803189e-05,1.140461898138360073e-04,1.699779249448123697e-01,1.000000000000000000e+00,1.963985056381208072e-02
1.300740239087538538e-02,-3.922282328119670175e-02,7.961419406230890684e-04,2.463973047854452875e-04,8.421117536849209121e-05,1.699779249448123697e-01,1.000000000000000000e+00,4.132338784642586305e-02
3.878488265393574552e-02,-1.891132642862412838e-02,7.956568028778687350e-04,1.195853578143201530e-04,2.434326281554349445e-04,1.699779249448123697e-01,1.000000000000000000e+00,4.314980173499691901e-02
6.809844994937482021e-03,-4.870729249537947975e-02,7.939075808281918041e-04,3.064319612906276323e-04,4.087381144794564750e-05,6.799116997792494788e-01,1.000000000000000000e+00,4.918103629536008103e-02
-9.139392934244055036e-03,-2.703765692767902407e-02,7.989483875675241435e-04,1.660141518250210068e-04,-5.860670747392859658e-05,1.699779249448123697e-01,1.000000000000000000e+00,2.854055702584270757e-02
1.597926328053179620e-02,-2.590004652695860471e-02,7.985967458499573660e-04,1.621003346741658590e-04,1.019606376277873005e-04,1.699779249448123697e-01,1.000000000000000000e+00,3.043270058813664011e-02
3.317755023153988458e-02,8.552174508460852476e-03,7.978183289556928150e-04,-5.362205760297457114e-05,2.072945575748262733e-04,1.699779249448123697e-01,1.000000000000000000e+00,3.426207127698965849e-02
6.493303762449428862e-03,2.077294885083180373e-02,8.000188349258100179e-04,-1.337450273937351220e-04,4.082726785182488806e-05,1.699779249448123697e-01,1.000000000000000000e+00,2.176415396266793284e-02
1.274980929618045600e-02,1.273758714394957955e-02,8.004858664356110601e-04,-8.134715625967152181e-05,8.061985663083864645e-05,1.699779249448123697e-01,1.000000000000000000e+00,1.802231292977344787e-02
-3.447170860945242971e-02,-9.816420477125028035e-04,7.977702743577302739e-04,8.158459469123920224e-06,-2.159652430838100354e-04,1.699779249448123697e-01,1.000000000000000000e+00,3.448568276205118271e-02
